Account number,City long name,City short name,Country,Region,C40,Access,Reporting year,Source,Type,Amount,Units
35859,City of Cleveland,Cleveland,USA,North America,,Public,2017,Street lighting and traffic signals,Electricity,80886262,kWh
43910,City of Columbus,Columbus,USA,North America,,Public,2017,Street lighting and traffic signals,Electricity,42520845.92,kWh
54108,City of Durham,Durham,USA,North America,,Public,2017,Street lighting and traffic signals,Electricity,15890809,kWh
58590,"City of Easton, PA","Easton, PA",USA,North America,,Public,2017,Street lighting and traffic signals,Electricity,2146431,kWh
43912,City of Edmonton,Edmonton,Canada,North America,,Public,2017,Street lighting and traffic signals,Electricity,81820581,kWh
54070,City of Eugene,Eugene,USA,North America,,Public,2017,Street lighting and traffic signals,Electricity,7713489,kWh
50555,City of Hamilton,Hamilton,Canada,North America,,Public,2017,Street lighting and traffic signals,Electricity,33808721,kWh
54048,City of Knoxville,Knoxville,USA,North America,,Public,2017,Street lighting and traffic signals,Electricity,28056544,kWh
57616,"City of Lake Forest, IL","Lake Forest, IL",USA,North America,,Public,2017,Street lighting and traffic signals,Electricity,112010,Therms
10495,City of Las Vegas,Las Vegas,USA,North America,,Public,2017,Street lighting and traffic signals,Electricity,34600249,kWh
58513,City of Medford,Medford,USA,North America,,Public,2017,Street lighting and traffic signals,Electricity,2267476,kWh
50560,City of Oakland,Oakland,USA,North America,,Public,2017,Street lighting and traffic signals,Electricity,18843521,kWh
35878,City of Sacramento,Sacramento,USA,North America,,Public,2017,Street lighting and traffic signals,Electricity,19163,MWh
43905,City of San Antonio,San Antonio,USA,North America,,Public,2017,Street lighting and traffic signals,Electricity,65454238,kWh
54110,City of Santa Monica,Santa Monica,USA,North America,,Public,2017,Street lighting and traffic signals,Electricity,5881953,kWh
54085,City of Savannah,Savannah,USA,North America,,Public,2017,Street lighting and traffic signals,Electricity,3310478,kWh
58531,"City of Somerville, MA","Somerville, MA",USA,North America,,Public,2017,Street lighting and traffic signals,Electricity,3858514,kWh
35393,City of St Louis,St Louis,USA,North America,,Public,2017,Street lighting and traffic signals,Electricity,48617682,kWh
50578,City of Windsor,Windsor,Canada,North America,,Public,2017,Street lighting and traffic signals,Electricity,66781,GJ
50579,City of Winnipeg,Winnipeg,Canada,North America,,Public,2017,Street lighting and traffic signals,Electricity,204187,GJ
13067,City of New Orleans,New Orleans,USA,North America,C40,Public,2017,Street lighting and traffic signals,Electricity,44216258,kWh
14874,"City of Portland, OR","Portland, OR",USA,North America,C40,Public,2017,Street lighting and traffic signals,Electricity,38194303,kWh
3417,New York City,New York City,USA,North America,C40,Public,2017,Street lighting and traffic signals,Electricity,201195422,kWh
31114,City of Sydney,Sydney,Australia,South Asia and Oceania,C40,Public,2017,Street lighting and traffic signals,Electricity,11856598,kWh
43928,Canberra,Canberra,Australia,South Asia and Oceania,,Public,2017,Street lighting and traffic signals,Electricity,41483383,kWh
54354,City Government of Makati,Makati,Philippines,South Asia and Oceania,,Public,2017,Street lighting and traffic signals,Electricity,2354894,kWh
53254,Hobart City Council,Hobart,Australia,South Asia and Oceania,,Public,2017,Street lighting and traffic signals,Electricity,10330,GJ
31112,Kaohsiung City Government,Kaohsiung,Taiwan,East Asia,,Public,2017,Street lighting and traffic signals,Electricity,346570.5,MWh
54395,Taoyuan City Government,Taoyuan,Taiwan,East Asia,,Public,2017,Street lighting and traffic signals,Electricity,83143991.32,kWh
35872,Municipality of Recife,Recife,Brazil,Latin America,,Public,2017,Street lighting and traffic signals,Electricity,67864000,kWh
50381,Municipio de Torreón,Torreón,Mexico,Latin America,,Public,2017,Street lighting and traffic signals,Electricity,29155006,kWh
36489,Comune di Olbia,Olbia,Italy,Europe,,Public,2017,Street lighting and traffic signals,Electricity,5451,MWh
63616,Abasan Al-Kabira Municipality,Abasan Al-Kabira,State of Palestine,South and West Asia,,Public,2017,Street lighting and traffic signals,Electricity,534.9,MWh
59163,City of Tirana,Tirana,Albania,Europe,,Public,2017,Street lighting and traffic signals,Electricity,6895022,kWh
55334,Município de Braga,Braga,Portugal,Europe,,Public,2017,Street lighting and traffic signals,Electricity,17115,MWh
31173,Comune di Milano,Milano,Italy,Europe,C40,Public,2017,Street lighting and traffic signals,Electricity,111868,MWh
36254,Comune di Venezia,Venezia,Italy,Europe,C40,Public,2017,Street lighting and traffic signals,Electricity,16857,MWh
43914,City of Charlotte,Charlotte,USA,North America,,Public,2017,Street lighting and traffic signals,Electricity,4356948,kWh
54119,City of Palo Alto,Palo Alto,USA,North America,,Public,2017,Street lighting and traffic signals,Electricity,596737,kWh
35877,City of Pittsburgh,Pittsburgh,USA,North America,,Public,2017,Street lighting and traffic signals,Electricity,27007319,kWh
49335,Metropolitan Government of Nashville and Davidson County,Nashville and Davidson ,USA,North America,,Public,2017,Street lighting and traffic signals,Electricity,59277246,kWh
31108,City of Houston,Houston,USA,North America,C40,Public,2017,Street lighting and traffic signals,Electricity,72146591,kWh
54348,The Local Government of Quezon City,Quezon ,Philippines,South Asia and Oceania,C40,Public,2017,Street lighting and traffic signals,Electricity,27514352,kWh
64014,City of Cupertino,Cupertino,USA,North America,,Public,2017,Street lighting and traffic signals,Electricity,2022966,kWh
59537,"City of Denton, TX","Denton, TX",USA,North America,,Public,2017,Street lighting and traffic signals,Electricity,4290590.94,kWh
58871,"City of Salem, MA","Salem, MA",USA,North America,,Public,2017,Street lighting and traffic signals,Electricity,7300000,Btus
59631,"City of San Leandro, CA","San Leandro, CA",USA,North America,,Public,2017,Street lighting and traffic signals,Electricity,3444837,kWh
59633,"City of Santa Cruz, CA","Santa Cruz, CA",USA,North America,,Public,2017,Street lighting and traffic signals,Electricity,1551495,kWh
60392,Municipalidad de San Isidro (Lima),San Isidro (Lima),Peru,Latin America,,Public,2017,Street lighting and traffic signals,Electricity,637.1,MWh
55324,Município de Guimarães,Guimarães,Portugal,Europe,,Public,2017,Street lighting and traffic signals,Electricity,12019,MWh
60273,Prefeitura de Extrema,Extrema,Brazil,Latin America,,Public,2017,Street lighting and traffic signals,Electricity,115.79,MWh
60126,Tartu City Council,Tartu,Estonia,Europe,,Public,2017,Street lighting and traffic signals,Electricity,7456,MWh
8242,City of Helsinki,Helsinki,Finland,Europe,,Public,2017,Subway / underground,Electricity,76.5,GWh
31185,City of Warsaw,Warsaw,Poland,Europe,C40,Public,2017,Subway / underground,Electricity,21749.7,MWh
50578,City of Windsor,Windsor,Canada,North America,,Public,2017,Thermal energy,Heat,91595,GJ
54498,Ayuntamiento de Murcia,Murcia,Spain,Europe,,Public,2017,Total,Electricity,67735878,kWh
50679,Barreiro,Barreiro,Portugal,Europe,,Public,2017,Total,Electricity,10150,MWh
54521,City of Bournemouth,Bournemouth,United Kingdom,Europe,,Public,2017,Total,Electricity,22700,MWh
58671,Elsinore Municipality,Elsinore,Denmark,Europe,,Public,2017,Total,Electricity,11888,MWh
58488,Sonderborg Kommune,Sonderborg,Denmark,Europe,,Public,2017,Total,Electricity,13505,MWh
58488,Sonderborg Kommune,Sonderborg,Denmark,Europe,,Public,2017,Total,Heat,36830,MWh
54114,City of Asheville,Asheville,USA,North America,,Public,2017,Total,Electricity,21195010,kWh
35857,City of Cincinnati,Cincinnati,USA,North America,,Public,2017,Total,Electricity,290348273,kWh
35874,City of Phoenix,Phoenix,USA,North America,,Public,2017,Total,Electricity,641239109,kWh
58511,"City of Richmond, CA","Richmond, CA",USA,North America,,Public,2017,Total,Other: CO2e,2959,Metric tonnes
50568,City of Saskatoon,Saskatoon,Canada,North America,,Public,2017,Total,Electricity,111585271,kWh
50568,City of Saskatoon,Saskatoon,Canada,North America,,Public,2017,Total,Heat,11610439,m3 (cubic meters)
35894,Ville de Montreal,Montreal,Canada,North America,C40,Public,2017,Total,Electricity,1049081520,kWh
35894,Ville de Montreal,Montreal,Canada,North America,C40,Public,2017,Total,Heat,3647000000,Btus
35894,Ville de Montreal,Montreal,Canada,North America,C40,Public,2017,Total,Steam,18143,Metric tonnes
35894,Ville de Montreal,Montreal,Canada,North America,C40,Public,2017,Total,Cooling,963994,Metric tonnes
31181,City of Philadelphia,Philadelphia,USA,North America,C40,Public,2017,Total,Electricity,2370788000,Btus
31181,City of Philadelphia,Philadelphia,USA,North America,C40,Public,2017,Total,Steam,119858,GJ
32480,City of Adelaide,Adelaide,Australia,South Asia and Oceania,,Public,2017,Total,Electricity,21138611,kWh
54386,Tainan City Government,Tainan ,Taiwan,East Asia,,Public,2017,Total,Other: Total,75602.96,Metric tonnes
43937,Wellington City Council,Wellington,New Zealand,South Asia and Oceania,,Public,2017,Total,Electricity,34549921.5,kWh
60577,Frederikshavn Kommune,Frederikshavn,Denmark,Europe,,Public,2017,Total,Heat,1126,GWh
60602,"Town of Ajax, ON","Ajax, ON",Canada,North America,,Public,2017,Total,Electricity,10489278,GJ
31187,Seoul Metropolitan Government,Seoul ,South Korea,East Asia,C40,Public,2017,Total,Electricity,45018863,MWh
36045,Santiago de Guayaquil,Santiago de Guayaquil,Ecuador,Latin America,,Public,2017,Total,Electricity,9551,Metric tonnes
60680,Ville de Salaberry-de-Valleyfield,Salaberry-de-Valleyfield,Canada,North America,,Public,2017,Total,Electricity,3229711,kWh
2430,City of Burlington,Burlington,USA,North America,,Public,2017,Unknown source,Electricity,20539651,kWh
2430,City of Burlington,Burlington,USA,North America,,Public,2017,Unknown source,Electricity,4568788,kWh
54119,City of Palo Alto,Palo Alto,USA,North America,,Public,2017,Waste collection,Electricity,160439,kWh
59537,"City of Denton, TX","Denton, TX",USA,North America,,Public,2017,Waste collection,Electricity,622828,kWh
35858,City of Cape Town,Cape Town,South Africa,Africa,C40,Public,2017,Wastewater treatment,Electricity,132237504,kWh
54102,City of Albany,Albany,USA,North America,,Public,2017,Wastewater treatment,Electricity,547598,kWh
55799,"City of Arlington, VA","Arlington, VA",USA,North America,,Public,2017,Wastewater treatment,Electricity,31143,MWh
54104,City of Boulder,Boulder,USA,North America,,Public,2017,Wastewater treatment,Electricity,7416086,kWh
35475,City of Calgary,Calgary,Canada,North America,,Public,2017,Wastewater treatment,Electricity,56394982.06,kWh
43910,City of Columbus,Columbus,USA,North America,,Public,2017,Wastewater treatment,Electricity,56077564,kWh
43910,City of Columbus,Columbus,USA,North America,,Public,2017,Wastewater treatment,Heat,642530,Therms
58590,"City of Easton, PA","Easton, PA",USA,North America,,Public,2017,Wastewater treatment,Electricity,1193039,kWh
57616,"City of Lake Forest, IL","Lake Forest, IL",USA,North America,,Public,2017,Wastewater treatment,Electricity,7920,Therms
10495,City of Las Vegas,Las Vegas,USA,North America,,Public,2017,Wastewater treatment,Electricity,47459918,kWh
10495,City of Las Vegas,Las Vegas,USA,North America,,Public,2017,Wastewater treatment,Heat,198171,Therms
43905,City of San Antonio,San Antonio,USA,North America,,Public,2017,Wastewater treatment,Electricity,84993209,kWh
54085,City of Savannah,Savannah,USA,North America,,Public,2017,Wastewater treatment,Electricity,55721549,kWh
50578,City of Windsor,Windsor,Canada,North America,,Public,2017,Wastewater treatment,Electricity,73963,GJ
3417,New York City,New York City,USA,North America,C40,Public,2017,Wastewater treatment,Electricity,692309021,kWh
3417,New York City,New York City,USA,North America,C40,Public,2017,Wastewater treatment,Steam,37549979,GJ
31112,Kaohsiung City Government,Kaohsiung,Taiwan,East Asia,,Public,2017,Wastewater treatment,Electricity,56334,MWh
57347,Pingtung County Government,Pingtung ,Taiwan,East Asia,,Public,2017,Wastewater treatment,Electricity,3517622,kWh
50381,Municipio de Torreón,Torreón,Mexico,Latin America,,Public,2017,Wastewater treatment,Electricity,650000,kWh
54119,City of Palo Alto,Palo Alto,USA,North America,,Public,2017,Wastewater treatment,Electricity,16154000,kWh
49335,Metropolitan Government of Nashville and Davidson County,Nashville and Davidson ,USA,North America,,Public,2017,Wastewater treatment,Electricity,211305784,kWh
31108,City of Houston,Houston,USA,North America,C40,Public,2017,Wastewater treatment,Electricity,199814216,kWh
10894,City of Los Angeles,Los Angeles,USA,North America,C40,Public,2017,Wastewater treatment,Electricity,,
59537,"City of Denton, TX","Denton, TX",USA,North America,,Public,2017,Wastewater treatment,Electricity,11324004.79,kWh
59631,"City of San Leandro, CA","San Leandro, CA",USA,North America,,Public,2017,Wastewater treatment,Electricity,2865428,kWh
58569,City of Podgorica,Podgorica,Montenegro,Europe,,Public,2017,Water supply,Electricity,13106,kWh
35885,Tel Aviv-Yafo Municipality,Tel Aviv-Yafo ,Israel,South and West Asia,,Public,2017,Water supply,,49600,MWh
35858,City of Cape Town,Cape Town,South Africa,Africa,C40,Public,2017,Water supply,Electricity,63466200,kWh
54102,City of Albany,Albany,USA,North America,,Public,2017,Water supply,Electricity,1805900,kWh
54104,City of Boulder,Boulder,USA,North America,,Public,2017,Water supply,Electricity,4899854,kWh
35475,City of Calgary,Calgary,Canada,North America,,Public,2017,Water supply,Electricity,81930779.72,kWh
43910,City of Columbus,Columbus,USA,North America,,Public,2017,Water supply,Electricity,47164740,kWh
43910,City of Columbus,Columbus,USA,North America,,Public,2017,Water supply,Heat,352194,Therms
54108,City of Durham,Durham,USA,North America,,Public,2017,Water supply,Electricity,42570639,kWh
58590,"City of Easton, PA","Easton, PA",USA,North America,,Public,2017,Water supply,Electricity,0,kWh
50555,City of Hamilton,Hamilton,Canada,North America,,Public,2017,Water supply,Electricity,103157292,kWh
57616,"City of Lake Forest, IL","Lake Forest, IL",USA,North America,,Public,2017,Water supply,Electricity,190200,Therms
14344,"City of Park City, UT","Park City, UT",USA,North America,,Public,2017,Water supply,Electricity,8023819,kWh
35878,City of Sacramento,Sacramento,USA,North America,,Public,2017,Water supply,Electricity,47391,MWh
43905,City of San Antonio,San Antonio,USA,North America,,Public,2017,Water supply,Electricity,185891919,kWh
54110,City of Santa Monica,Santa Monica,USA,North America,,Public,2017,Water supply,Electricity,18219919,kWh
35393,City of St Louis,St Louis,USA,North America,,Public,2017,Water supply,Electricity,68743042,kWh
50578,City of Windsor,Windsor,Canada,North America,,Public,2017,Water supply,Electricity,53400,GJ
31177,Salt Lake City,Salt Lake City,USA,North America,,Public,2017,Water supply,Electricity,20697437,kWh
13067,City of New Orleans,New Orleans,USA,North America,C40,Public,2017,Water supply,Electricity,97601306,kWh
3417,New York City,New York City,USA,North America,C40,Public,2017,Water supply,Electricity,77505486,kWh
50381,Municipio de Torreón,Torreón,Mexico,Latin America,,Public,2017,Water supply,Electricity,89216806,kWh
36254,Comune di Venezia,Venezia,Italy,Europe,C40,Public,2017,Water supply,Electricity,2908,MWh
54119,City of Palo Alto,Palo Alto,USA,North America,,Public,2017,Water supply,Electricity,560872,kWh
35877,City of Pittsburgh,Pittsburgh,USA,North America,,Public,2017,Water supply,Electricity,52928290,kWh
31108,City of Houston,Houston,USA,North America,C40,Public,2017,Water supply,Electricity,159414365,kWh
64014,City of Cupertino,Cupertino,USA,North America,,Public,2017,Water supply,Electricity,32378,kWh
59537,"City of Denton, TX","Denton, TX",USA,North America,,Public,2017,Water supply,Electricity,15989662,kWh
50792,Ville de Monaco,Monaco,Monaco,Europe,,Public,2017,,Cooling,258400,kWh
44132,Bornova Municipality,Bornova ,Turkey,Europe,,Public,2017,,Electricity,2606,MWh
36262,Comune di Genova,Genova,Italy,Europe,,Public,2017,,Electricity,155000,MWh
36495,Comune di Piacenza,Piacenza,Italy,Europe,,Public,2017,,Electricity,13194,MWh
36518,Comune di Udine,Udine,Italy,Europe,,Public,2017,,Electricity,5976,Metric tonnes
31313,Dublin City Council,Dublin,Ireland,Europe,,Public,2017,,Electricity,71441,MWh
31055,Glasgow City Council,Glasgow,United Kingdom,Europe,,Public,2017,,Electricity,160000000,kWh
50792,Ville de Monaco,Monaco,Monaco,Europe,,Public,2017,,Electricity,24796264,kWh
43975,Municipalidad de Magdalena del Mar,Magdalena del Mar,Peru,Latin America,,Public,2017,,Electricity,733.34,MWh
36495,Comune di Piacenza,Piacenza,Italy,Europe,,Public,2017,,Heat,50453,MWh
31313,Dublin City Council,Dublin,Ireland,Europe,,Public,2017,,Heat,120,MWh
50792,Ville de Monaco,Monaco,Monaco,Europe,,Public,2017,,Heat,215990,kWh
31313,Dublin City Council,Dublin,Ireland,Europe,,Public,2017,,Other: Natural Gas,64840,MWh
